직업코드,대분류,중분류,소분류,직무개요,수행직무,임금정보,직업만족도,일자리전망,직업명,직업가치,지식,업무환경,성격,흥미,가치관,업무수행능력,직무기술
K000001071,보건·의료직,"의사, 한의사 및 치과의사",방사선과의사,"X-ray, 특수조영술(인체 전 영역에서 조영제를 사용하여 X선 형광촬영으로 장기의 구조, 기능적 이상을 진단함), 초음파, 전산화단층촬영, 자기공명영상, 방사선동위원소, 중재적 치료술 등을 이용하여 환자의 질병을 진단하고 치료한다.","의사가 되려면 의과대학을 졸업한 후, 의사국가면허시험에 합격해야 한다. 또한 의과대학이 아닌 다른 일반학과를 졸업한 후 총 4년 과정의 의학전문대학원에 진학하여 의무석사학위를 취득하고 의사국가면허시험을 통과해도 의사가 될 수 있다.
2017년 기준으로 의학을 공부할 수 있는 곳은 10개의 국립대학(서울대학교 등)과 31개의 사립대학(고려대학교 등)이 있다. 의과대학에서는 6년(의예과 2년 및 의학과 4년) 동안 해부학, 조직학, 병리학, 예방의학, 의공학, 약리학, 감염학, 임상실습 등을 배운다.
2017년 1월에 시행된 보건의료인국가시험원의 의사면허시험에 3,336명이 응시하여 3,095명(92.8%)가 합격하였다.
특정분야를 전문으로 하지 않고 진료하는 의사를 ‘일반의사’라 한다. 의사면허를 취득한 후에 인턴과정 1년과 레지던트과정 4년(예방의학과, 결핵과, 가정의학과 3년)의 과정을 거쳐 각 분야의 전문의 자격시험에 합격한 사람을 ‘전문의사‘라고 한다. 전문의사는 총 26과의 전문분야(산부인과, 안과, 이비인후과, 피부과, 비뇨기과, 신경과 등)로 구분되어 있으며, 전문의 시험에 응시하는 사람의 비율은 높아지고 있다.","조사년도:2023년, 임금 하위(25%) 8375만원, 평균(50%) 9800만원, 상위(25%) 13000만원",79.4,증가(50%) 현상유지(20%) 감소(30%),방사선과의사,선택적 집중력(98)/시력(91)/범주화(89)/가르치기(84)/논리적 분석(81),의료(99)/생물(94)/영어(81)/화학(80)/물리(80),질병 혹은 감염 위험 노출(96)/자동화 정도(95)/실수의 심각성(91)/의사결정 가능성(89)/건강 및 안전에 대한 책임(87),성취/노력(78)/분석적 사고(77)/타인에 대한 배려(64)/신뢰성(63)/책임과 진취성(63),탐구형(Investigative)(62)/현실형(Realistic)(55),애국(97)/심신의 안녕(97)/자율(95)/경제적 보상(95)/인정(95),"사람들을 배려, 돌봄(99)/사물, 행동, 사건 파악(95)/의사 결정, 문제점 해결(95)/정보의 의미 해석(93)/새로운 지식의 습득, 활용(92)","사람들을 배려, 돌봄(99)/사물, 행동, 사건 파악(92)/절차, 자료, 주변환경 관찰(92)/새로운 지식의 습득, 활용(91)/정보의 의미 해석(90)"
K000001108,보건·의료직,"의사, 한의사 및 치과의사",이비인후과의사,"귀, 코, 목의 질병을 진료하여 적절한 치료를 한다.","의사가 되려면 의과대학을 졸업한 후, 의사국가면허시험에 합격해야 한다. 또한 의과대학이 아닌 다른 일반학과를 졸업한 후 총 4년 과정의 의학전문대학원에 진학하여 의무석사학위를 취득하고 의사국가면허시험을 통과해도 의사가 될 수 있다.
2017년 기준으로 의학을 공부할 수 있는 곳은 10개의 국립대학(서울대학교 등)과 31개의 사립대학(고려대학교 등)이 있다. 의과대학에서는 6년(의예과 2년 및 의학과 4년) 동안 해부학, 조직학, 병리학, 예방의학, 의공학, 약리학, 감염학, 임상실습 등을 배운다.
2017년 1월에 시행된 보건의료인국가시험원의 의사면허시험에 3,336명이 응시하여 3,095명(92.8%)가 합격하였다.
특정분야를 전문으로 하지 않고 진료하는 의사를 ‘일반의사’라 한다. 의사면허를 취득한 후에 인턴과정 1년과 레지던트과정 4년(예방의학과, 결핵과, 가정의학과 3년)의 과정을 거쳐 각 분야의 전문의 자격시험에 합격한 사람을 ‘전문의사‘라고 한다. 전문의사는 총 26과의 전문분야(산부인과, 안과, 이비인후과, 피부과, 비뇨기과, 신경과 등)로 구분되어 있으며, 전문의 시험에 응시하는 사람의 비율은 높아지고 있다.","조사년도:2023년, 임금 하위(25%) 8325만원, 평균(50%) 11500만원, 상위(25%) 14000만원",80.8,증가(43%) 현상유지(43%) 감소(14%),이비인후과의사,시력(98)/정교한 동작(97)/움직임 통제(94)/청력(90)/선택적 집중력(89),의료(100)/상담(81)/생물(79)/심리(69)/고객서비스(67),의사결정 가능성(99)/질병 혹은 감염 위험 노출(98)/건강 및 안전에 대한 책임(95)/의사결정 권한(93)/실수의 심각성(93),타인에 대한 배려(63)/성취/노력(60)/책임과 진취성(59)/정직성(57)/꼼꼼함(55),사회형(Social)(81)/현실형(Realistic)(74),경제적 보상(99)/심신의 안녕(98)/이타(98)/자율(98)/고용안정(97),"사람들을 배려, 돌봄(99)/인사 업무(98)/사물, 서비스, 사람의 질 판단(97)/부하 직원들에게 업무 안내, 지시, 동기부여(97)/업무상 사람들을 직접 응대(97)","사람들을 배려, 돌봄(100)/인사 업무(99)/의사 결정, 문제점 해결(97)/부하 직원들에게 업무 안내, 지시, 동기부여(96)/사물, 서비스, 사람의 질 판단(95)"
K000001129,보건·의료직,"의사, 한의사 및 치과의사",마취병리과의사,수술전·후 환자의 안전을 위해 환자의 신체에서 발생하는 각종 징후(vital sign)를 점검하고 마취를 관장한다.,"의사가 되려면 의과대학을 졸업한 후, 의사국가면허시험에 합격해야 한다. 또한 의과대학이 아닌 다른 일반학과를 졸업한 후 총 4년 과정의 의학전문대학원에 진학하여 의무석사학위를 취득하고 의사국가면허시험을 통과해도 의사가 될 수 있다.
2017년 기준으로 의학을 공부할 수 있는 곳은 10개의 국립대학(서울대학교 등)과 31개의 사립대학(고려대학교 등)이 있다. 의과대학에서는 6년(의예과 2년 및 의학과 4년) 동안 해부학, 조직학, 병리학, 예방의학, 의공학, 약리학, 감염학, 임상실습 등을 배운다.
2017년 1월에 시행된 보건의료인국가시험원의 의사면허시험에 3,336명이 응시하여 3,095명(92.8%)가 합격하였다.
특정분야를 전문으로 하지 않고 진료하는 의사를 ‘일반의사’라 한다. 의사면허를 취득한 후에 인턴과정 1년과 레지던트과정 4년(예방의학과, 결핵과, 가정의학과 3년)의 과정을 거쳐 각 분야의 전문의 자격시험에 합격한 사람을 ‘전문의사‘라고 한다. 전문의사는 총 26과의 전문분야(산부인과, 안과, 이비인후과, 피부과, 비뇨기과, 신경과 등)로 구분되어 있으며, 전문의 시험에 응시하는 사람의 비율은 높아지고 있다.","조사년도:2023년, 임금 하위(25%) 8225만원, 평균(50%) 9750만원, 상위(25%) 12250만원",81.8,증가(13%) 현상유지(77%) 감소(10%),마취병리과의사,시력(98)/선택적 집중력(98)/반응시간과 속도(97)/정교한 동작(96)/서비스 지향(96),의료(99)/생물(95)/화학(82)/영어(81)/상담(75),"질병 혹은 감염 위험 노출(100)/실수의 심각성(100)/이미지/평판/재정에 미치는 강도(99)/정확성, 정밀성 유지(97)/이미지/평판/재정에 미치는 영향력(97)",타인에 대한 배려(60)/독립성(59)/꼼꼼함(58)/정직성(53)/신뢰성(52),현실형(Realistic)(89)/탐구형(Investigative)(85),경제적 보상(97)/애국(93)/성취(91)/고용안정(91)/이타(90),"사람들을 배려, 돌봄(86)/의사 결정, 문제점 해결(71)/업무 계획, 우선순위 결정(67)/컴퓨터 업무(65)/정보 작성, 기록(63)","사람들을 배려, 돌봄(88)/업무, 활동에 대한 일정관리(73)/업무 계획, 우선순위 결정(71)/정보, 자료 분석(71)/정보 처리(67)"
K000001133,보건·의료직,"의사, 한의사 및 치과의사",내과의사,인체 내부기관의 질병 및 장애를 진료한다,"의사가 되려면 의과대학을 졸업한 후, 의사국가면허시험에 합격해야 한다. 또한 의과대학이 아닌 다른 일반학과를 졸업한 후 총 4년 과정의 의학전문대학원에 진학하여 의무석사학위를 취득하고 의사국가면허시험을 통과해도 의사가 될 수 있다.
2017년 기준으로 의학을 공부할 수 있는 곳은 10개의 국립대학(서울대학교 등)과 31개의 사립대학(고려대학교 등)이 있다. 의과대학에서는 6년(의예과 2년 및 의학과 4년) 동안 해부학, 조직학, 병리학, 예방의학, 의공학, 약리학, 감염학, 임상실습 등을 배운다.
2017년 1월에 시행된 보건의료인국가시험원의 의사면허시험에 3,336명이 응시하여 3,095명(92.8%)가 합격하였다.
특정분야를 전문으로 하지 않고 진료하는 의사를 ‘일반의사’라 한다. 의사면허를 취득한 후에 인턴과정 1년과 레지던트과정 4년(예방의학과, 결핵과, 가정의학과 3년)의 과정을 거쳐 각 분야의 전문의 자격시험에 합격한 사람을 ‘전문의사‘라고 한다. 전문의사는 총 26과의 전문분야(산부인과, 안과, 이비인후과, 피부과, 비뇨기과, 신경과 등)로 구분되어 있으며, 전문의 시험에 응시하는 사람의 비율은 높아지고 있다.","조사년도:2023년, 임금 하위(25%) 7000만원, 평균(50%) 10000만원, 상위(25%) 15250만원",77.8,증가(29%) 현상유지(42%) 감소(29%),내과의사,말하기(84)/문제 해결(77)/인적자원 관리(75)/판단과 의사결정(74)/설득(73),의료(99)/생물(96)/심리(85)/상담(85)/영어(85),질병 혹은 감염 위험 노출(100)/실수의 심각성(97)/의사결정 가능성(95)/건강 및 안전에 대한 책임(94)/주말 및 공휴일 근무(94),타인에 대한 배려(73)/책임과 진취성(72)/신뢰성(70)/분석적 사고(69)/정직성(68),사회형(Social)(97)/현실형(Realistic)(85),경제적 보상(94)/애국(90)/타인에 대한 영향(90)/이타(87)/자율(87),"사람들을 배려, 돌봄(96)/인사 업무(94)/사람들에게 조언, 상담(93)/정보의 의미 해석(92)/의사 결정, 문제점 해결(91)","인사 업무(97)/사람들을 배려, 돌봄(95)/자원 관리(94)/사람들에게 조언, 상담(87)/절차, 자료, 주변환경 관찰(87)"
K000001146,보건·의료직,"의사, 한의사 및 치과의사",산부인과의사,"태아 출생 전후의 임산부를 관리하고 분만을 담당하며, 전 연령의 여성을 대상으로 생식기관 및 이와 관련된 모든 질환을 진단하고 치료한다.","의사가 되려면 의과대학을 졸업한 후, 의사국가면허시험에 합격해야 한다. 또한 의과대학이 아닌 다른 일반학과를 졸업한 후 총 4년 과정의 의학전문대학원에 진학하여 의무석사학위를 취득하고 의사국가면허시험을 통과해도 의사가 될 수 있다.
2017년 기준으로 의학을 공부할 수 있는 곳은 10개의 국립대학(서울대학교 등)과 31개의 사립대학(고려대학교 등)이 있다. 의과대학에서는 6년(의예과 2년 및 의학과 4년) 동안 해부학, 조직학, 병리학, 예방의학, 의공학, 약리학, 감염학, 임상실습 등을 배운다.
2017년 1월에 시행된 보건의료인국가시험원의 의사면허시험에 3,336명이 응시하여 3,095명(92.8%)가 합격하였다.
특정분야를 전문으로 하지 않고 진료하는 의사를 ‘일반의사’라 한다. 의사면허를 취득한 후에 인턴과정 1년과 레지던트과정 4년(예방의학과, 결핵과, 가정의학과 3년)의 과정을 거쳐 각 분야의 전문의 자격시험에 합격한 사람을 ‘전문의사‘라고 한다. 전문의사는 총 26과의 전문분야(산부인과, 안과, 이비인후과, 피부과, 비뇨기과, 신경과 등)로 구분되어 있으며, 전문의 시험에 응시하는 사람의 비율은 높아지고 있다.","조사년도:2023년, 임금 하위(25%) 8875만원, 평균(50%) 10000만원, 상위(25%) 12000만원",80.2,증가(13%) 현상유지(7%) 감소(80%),산부인과의사,판단과 의사결정(97)/듣고 이해하기(94)/문제 해결(94)/시간 관리(91)/가르치기(91),의료(99)/생물(96)/상담(90)/심리(89)/영어(78),질병 혹은 감염 위험 노출(100)/이미지/평판/재정에 미치는 영향력(98)/건강 및 안전에 대한 책임(98)/실수의 심각성(98)/의사결정 가능성(98),성취/노력(75)/분석적 사고(75)/책임과 진취성(74)/인내(73)/타인에 대한 배려(73),사회형(Social)(89)/탐구형(Investigative)(81),인정(95)/경제적 보상(93)/고용안정(92)/성취(91)/이타(88),"사람들을 배려, 돌봄(91)/사물, 서비스, 사람의 질 판단(87)/사람들에게 영향력 행사(86)/새로운 지식의 습득, 활용(85)/절차, 자료, 주변환경 관찰(83)","사람들을 배려, 돌봄(97)/절차, 자료, 주변환경 관찰(94)/새로운 지식의 습득, 활용(94)/사물, 서비스, 사람의 질 판단(88)/사물, 행동, 사건 파악(87)"
K000007472,보건·의료직,"의사, 한의사 및 치과의사",치과의사,전문의학적 지식을 적용하여 치아의 건강을 돌보고 치아질환을 치료하는 일을 수행한다.,"치과의사가 되려면 치과대학 졸업 후에 치과의사 국가면허시험에 합격해야 한다. 그러나, 일부대학에서는 4년제 졸업 후 2003년부터 실시되고 있는 치의학전문대학원에 입학하도록 학제를 개편하였다. 국내에는 치의학을 배울 수 있는 11개의 대학이 있는데, 기존의 6년과정(치의예과 2년과 본과 4년)을 운영하는 3개의 대학과 치의학전문대학원을 운영(연세대학교는 기존 치과대학에서 치과전문대학원으로 전환중)하는 8개 대학이 있다. 본과 수업에서는 기초치의학(해부학, 생리학, 병리학, 약리학 등), 임상치의학 및 실습 등을 배우게 된다.
치의학전문대학원에 진학하려면 치의학교육입문검사DEET(Dental Education Eligibility Test)에 응시해야한다. 평가기준은 학교마다 다르나, 학부에서의 선수과목 취득, 일정 기준 이상의 대학 평점, 외국어 능력, 면접 등의 다양한 테스트를 거쳐야 한다. 연세대학교만 치의학전문대학원과 치과대학을 동시에 운영하고 있으며 7개 대학은(경북대, 경희대, 서울대, 전남대, 전북대, 부산대, 조선대)은 치과대학을 폐지하고 치의학전문대학원을 도입하여 운영하고 있다.
2017년 1월에 시행된 치과의사 면허시험에는 795명이 응시하여 746명(93.8%)이 합격하였다.  치과의사 면허를 취득한 후에 남자는 보통 군복무 또는 공중 보건의로 3년을 근무하게 되며, 본인이 원할 경우 인턴과 레지던트 과정을 거쳐 치과의사전문의가 될 수 있다. 면허를 취득한 후 수련 치과병원에서 인턴 1년, 레지던트 3년의 과정을 거쳐 각 전공 분야의 전문의 자격시험에 합격하면 치과의사전문의가 될 수 있다. 치과전문의분야는 10개(구강악안면외과, 치과보철과, 치과교정과, 소아치과, 치주과, 치과보존과, 구강내과, 구강악악면방사선과, 구강병리과, 예방치과)가 있다.","조사년도:2023년, 임금 하위(25%) 8000만원, 평균(50%) 9700만원, 상위(25%) 12000만원",79.9,증가(48%) 현상유지(36%) 감소(16%),치과의사,정교한 동작(99)/시력(98)/인적자원 관리(92)/서비스 지향(89)/선택적 집중력(88),의료(99)/상담(85)/인사(84)/생물(81)/경제와 회계(81),"질병 혹은 감염 위험 노출(100)/실수의 심각성(99)/다른 사람과 신체적 접촉(99)/사물, 도구, 조종 장치를 다루기 위해 손사용(97)/의사결정 가능성(96)",책임과 진취성(78)/인내(77)/타인에 대한 배려(74)/리더십(73)/자기통제(73),현실형(Realistic)(94)/사회형(Social)(89),심신의 안녕(95)/경제적 보상(94)/이타(90)/자율(89)/고용안정(88),"인사 업무(100)/사람들을 배려, 돌봄(99)/사람들의 업무와 활동을 조직, 편성(98)/새로운 지식의 습득, 활용(98)/부하 직원들에게 업무 안내, 지시, 동기부여(98)","인사 업무(100)/사람들의 업무와 활동을 조직, 편성(99)/사람들을 배려, 돌봄(99)/사람들에게 조언, 상담(99)/업무상 사람들을 직접 응대(99)"
K000007504,보건·의료직,"의사, 한의사 및 치과의사",일반의사,"의료 부분의 일반적인 질환, 장애, 상해 및 질병을 진료·예방한다.","의사가 되려면 의과대학을 졸업한 후, 의사국가면허시험에 합격해야 한다. 또한 의과대학이 아닌 다른 일반학과를 졸업한 후 총 4년 과정의 의학전문대학원에 진학하여 의무석사학위를 취득하고 의사국가면허시험을 통과해도 의사가 될 수 있다.
2017년 기준으로 의학을 공부할 수 있는 곳은 10개의 국립대학(서울대학교 등)과 31개의 사립대학(고려대학교 등)이 있다. 의과대학에서는 6년(의예과 2년 및 의학과 4년) 동안 해부학, 조직학, 병리학, 예방의학, 의공학, 약리학, 감염학, 임상실습 등을 배운다.
2017년 1월에 시행된 보건의료인국가시험원의 의사면허시험에 3,336명이 응시하여 3,095명(92.8%)가 합격하였다.
특정분야를 전문으로 하지 않고 진료하는 의사를 ‘일반의사’라 한다. 의사면허를 취득한 후에 인턴과정 1년과 레지던트과정 4년(예방의학과, 결핵과, 가정의학과 3년)의 과정을 거쳐 각 분야의 전문의 자격시험에 합격한 사람을 ‘전문의사‘라고 한다. 전문의사는 총 26과의 전문분야(산부인과, 안과, 이비인후과, 피부과, 비뇨기과, 신경과 등)로 구분되어 있으며, 전문의 시험에 응시하는 사람의 비율은 높아지고 있다.","조사년도:2023년, 임금 하위(25%) 5500만원, 평균(50%) 6000만원, 상위(25%) 8250만원",75.4,증가(10%) 현상유지(55%) 감소(34%),일반의사,시력(92)/정교한 동작(87)/듣고 이해하기(86)/말하기(85)/청력(85),의료(99)/생물(87)/상담(85)/철학과 신학(78)/심리(77),질병 혹은 감염 위험 노출(100)/건강 및 안전에 대한 책임(97)/의사결정 권한(89)/이미지/평판/재정에 미치는 영향력(83)/사람들과 직접 접촉(77),리더십(68)/성취/노력(61)/사회성(61)/꼼꼼함(60)/정직성(59),탐구형(Investigative)(70)/사회형(Social)(61),고용안정(97)/경제적 보상(94)/인정(94)/이타(92)/애국(92),"사람들을 배려, 돌봄(97)/업무 계획, 우선순위 결정(92)/업무, 활동에 대한 일정관리(91)/목표, 전략 수립(77)/새로운 지식의 습득, 활용(77)","사람들을 배려, 돌봄(99)/업무, 활동에 대한 일정관리(96)/업무 계획, 우선순위 결정(96)/목표, 전략 수립(85)/사물, 서비스, 사람의 질 판단(77)"
K000007542,보건·의료직,"의사, 한의사 및 치과의사",한의사,"한방 의료의 원리를 이용해 인체의 질병 및 장애를 파악하고, 다양한 한방치료법을 이용하여 진료한다.","한의사가 되기 위해서는 한의과대학이나 한의학전문대학원을 졸업한 후에 보건의료인 국가시험원의 한의사 면허시험에 합격해야 한다.
한의학과가 개설된 11개 대학교(경희, 동국, 동의, 대구, 원광, 대전, 가천, 동신, 우석, 상지, 세명)와 1개의 한의학전문대학원(부산대학교)에서 한의학을 공부할 수 있다. 한의과대학은 6년제(한의예과 2년, 한의학과 4년)이며 한의정보학, 한의철학, 생리학, 발생학, 의학한문 등의 교과목을 배우게 된다. 한의학전문대학원은 4년 과정으로 처음 1,2년 동안은 한의학 관련 기초교과목을 수강해야하며, 3,4년 과정에서는 임상교과목을 배우게 된다.
대학의 학사학위 취득자가 한의학전문대학원에 입학하려면 한자능력검증시험 2급 이상, 우수한 한의학교육입문검사인 KEET (Korea mdedical Education Eligibility Tes) 성적, 대학 성적, 국가공인 국어능력시험(KOPL, KBS한국어능력시험) 성적, 영어능력 인증시험(TOEFL) 성적을 제시해야 한다. 그러나 최근(2015년) 우리나라에서 유일하게 부산대학교 한의학전문대학원에서 고교졸업(예정)자를 대상으로 학사과정(3년)과 한의무석사과정(4년)을 통합 운영하면서 고교졸업자도 한의학전문대학원에 진학할 수 있게 되었다.
2017년 1월에 시행된 한의사 면허시험에 821명이 응시하여 775명(94.4%)이 합격하였다.
한의사 면허를 취득한 후 수련 한방병원에서 인턴 1년, 레지던트 3년 과정을 거친 후 전문의 자격시험에 합격하면 전문의 자격증을 취득할 수 있다. 한의와 관련된 전문 분야는 한방내과, 한방부인과, 한방소아과, 한방신경정신과, 침구의학과, 한방안이비인후피부과, 한방재활의학과, 사상체질과 총 8개가 있다. ","조사년도:2023년, 임금 하위(25%) 8000만원, 평균(50%) 10000만원, 상위(25%) 13000만원",82.7,증가(24%) 현상유지(45%) 감소(31%),한의사,듣고 이해하기(91)/사람 파악(90)/서비스 지향(86)/말하기(86)/인적자원 관리(81),의료(99)/상담(93)/생물(89)/심리(89)/인사(85),이미지/평판/재정에 미치는 영향력(100)/의사결정 가능성(100)/의사결정 권한(99)/질병 혹은 감염 위험 노출(99)/건강 및 안전에 대한 책임(99),자기통제(74)/타인에 대한 배려(74)/책임과 진취성(72)/인내(68)/정직성(68),사회형(Social)(99)/탐구형(Investigative)(54),경제적 보상(94)/인정(92)/자율(89)/고용안정(88)/심신의 안녕(88),"사람들을 배려, 돌봄(99)/사물, 서비스, 사람의 질 판단(98)/자원 관리(97)/업무상 사람들을 직접 응대(95)/인사 업무(95)","사람들을 배려, 돌봄(98)/인사 업무(96)/업무상 사람들을 직접 응대(96)/자원 관리(96)/사물, 서비스, 사람의 질 판단(95)"
K000001011,보건·의료직,수의사,수의사,"동물의 진단과 치료에서부터 동물약품개발, 가축품종개량연구, 축산물 검역과 방역, 수의학연구 등의 업무를 수행한다.","수의사가 되기 위해서는 수의학을 공부할 수 있는 대학에서 수의예과 2년, 수의학과 4년, 총 6년을 공부해야 한다. 2016년 현재 국내 대학 중 서울대학교 등 국립대 9개교와 사립대학교인 건국대학교까지 총 10개 대학에 수의학과가 개설되어 있다.  1~2학년에는 수의예과에서 기본적 교양과 수의학 공부에 필요한 기초 지식을 습득해야 하며, 수의본과에서 4년간 본격적으로 수의학을 공부한 후 수의사 국가시험에 합격해야 한다.
2016년에는 수의학과를 졸업한 592명 중 569명(96.1%)이 수의사 면허시험에 합격하였다. ","조사년도:2023년, 임금 하위(25%) 6450만원, 평균(50%) 7600만원, 상위(25%) 9125만원",75.7,증가(57%) 현상유지(33%) 감소(10%),수의사,정교한 동작(91)/재정 관리(89)/인적자원 관리(80)/서비스 지향(76)/논리적 분석(76),의료(98)/생물(98)/화학(80)/영어(75)/인사(65),질병 혹은 감염 위험 노출(100)/의사결정 가능성(92)/의사결정 권한(90)/오염물질 노출(87)/전화 대화하기(84),정직성(72)/신뢰성(70)/분석적 사고(70)/자기통제(69)/꼼꼼함(67),탐구형(Investigative)(81)/사회형(Social)(76),인정(98)/경제적 보상(97)/이타(95)/자율(95)/성취(94),"조직 외부인과 소통(87)/업무상 사람들을 직접 응대(87)/사람들에게 영향력 행사(85)/자원 관리(84)/사람들을 배려, 돌봄(80)","사람들에게 영향력 행사(91)/사람들을 배려, 돌봄(89)/업무상 사람들을 직접 응대(88)/조직 외부인과 소통(87)/사람들의 업무와 활동을 조직, 편성(83)"
K000000993,보건·의료직,약사 및 한약사,약사,"의사의 처방 또는 환자의 상태에 따라 공인된 처방에 의해 약품을 조제·판매하며, 환자에 대한 약력관리와 복약지도 등의 업무를 수행한다.","약사가 되기 위해서는 대학의 약학과를 졸업하고 보건의료인 국가시험원의 약사면허시험에 합격해야 한다. 약학과는 4년제 대학이나 고등학교 졸업 후에 바로 입학할 수 있는 것이 아니다. 학부 또는 학과에 입학하여 2년 이상 기초 교육과정을 마쳐야 하기 때문에 대학에서 6년 이상(2+4년) 공부해야 한다. 약학과에 입학하기 위해서 대학의 학부에서 2년간 일반화학, 생물학, 물리학, 유기화학 등의 약학과 관련된 선수과목을 이수해야 하며, 이후 우수한 평점, 외국어 능력 등 대학별로 요구하는 지원 자격을 갖춰야만 약학대학입문시험(PEET：Pharmacy Education Eligibility Test)에 응시할 수 있다. 2016년 기준으로 약학을 배울 수 있는 35개의 약학대학이 있다. 2017년 1월에 시행된 약사시험에 1,996명이 응시하여 1,868명(93.6%)가 합격하였다. ","조사년도:2023년, 임금 하위(25%) 5150만원, 평균(50%) 6900만원, 상위(25%) 9250만원",79.7,증가(20%) 현상유지(30%) 감소(50%),약사,사람 파악(87)/읽고 이해하기(85)/서비스 지향(83)/듣고 이해하기(80)/재정 관리(76),의료(99)/화학(94)/생물(92)/상담(84)/법(79),"불쾌하거나 무례한 사람 상대(95)/반복적인 신체행동, 정신적 활동(93)/의사결정 권한(92)/정확성, 정밀성 유지(91)/실수의 심각성(89)",정직성(71)/신뢰성(69)/꼼꼼함(67)/분석적 사고(66)/타인에 대한 배려(65),사회형(Social)(94)/현실형(Realistic)(65),자율(96)/경제적 보상(96)/개인지향(95)/고용안정(93)/이타(91),"자원 관리(96)/사람들을 배려, 돌봄(94)/업무상 사람들을 직접 응대(89)/사람들에게 영향력 행사(87)/정보 작성, 기록(85)","자원 관리(96)/사람들을 배려, 돌봄(89)/기준에 따른 정보 평가(84)/제품, 사건, 정보의 수치 추정(82)/업무상 사람들을 직접 응대(81)"
K000007474,보건·의료직,약사 및 한약사,한약사,"한약의 조제, 제조, 유통부터 품질관리, 연구개발 업무를 수행한다.","한약사가 되기 위해서는 대학의 한약학과를 졸업하고 한약사 국가면허시험에 합격하여야 한다. 2017년 현재 국내에 한약학과가 개설된 곳은 3곳(경희대, 원광대, 우석대)이다. 약학과는 6년제(2+4년 체제) 학제이지만 한약학과는 4년으로 교육과정이 편성되어 있다. 한방병리학, 한방생리학, 한방약학제학, 한약약리학, 한약한문 등을 배운다. 한국보건의료인국가시험원에서 연 1회 시행하고 있는 한약사국가면허시험에 합격한 후 약국이나 한방병원 등에서 한약사로 활동할 수 있다. 2017년 시행된 한약사 면허시험에서 121명이 응시하여 96명(합격률 79.3%)이 합격하였다    ","조사년도:2023년, 임금 하위(25%) 4375만원, 평균(50%) 5000만원, 상위(25%) 6500만원",75.8,증가(3%) 현상유지(43%) 감소(53%),한약사,읽고 이해하기(83)/서비스 지향(83)/듣고 이해하기(76)/글쓰기(73)/논리적 분석(73),의료(92)/생물(72)/상담(70)/사회와 인류(63)/고객서비스(59),의사결정 가능성(94)/건강 및 안전에 대한 책임(89)/외부 고객 대하기(88)/의사결정 권한(78)/실수의 심각성(78),정직성(60)/독립성(57)/리더십(57)/타인에 대한 배려(55)/신뢰성(52),사회형(Social)(99)/현실형(Realistic)(24),심신의 안녕(96)/고용안정(93)/타인에 대한 영향(92)/지적 추구(91)/경제적 보상(88),"사람들을 배려, 돌봄(93)/사람들에게 영향력 행사(81)/업무상 사람들을 직접 응대(80)/자원 관리(79)/조직 외부인과 소통(72)","사람들을 배려, 돌봄(94)/사람들에게 영향력 행사(82)/자원 관리(80)/업무상 사람들을 직접 응대(76)/정보 작성, 기록(75)"
K000007490,보건·의료직,간호사,보건교사,초등학교 및 중·고등학교에서 학생들의 건강에 관한 계획을 수립하고 학교의 보건활동을 수행한다.,"보건교사가 되기 위해서는 간호학사를 취득하고 각 시·도 교육청에서 실시하는 보건교사 임용시험에 합격해야 한다. 보건교사가 되기 위한 시험에 응시하기 위해서는 교육학과 간호학을 둘다 공부해야 한다. 자격요건으로는 첫째, 전문대 혹은 4년제 대학의 간호학과를 졸업하고 간호사 국가면허가 있어야 하며 둘째, 간호학과 재학 중에 교직을 이후 해야 하며 셋째, 한국사 능력 검정인증(3급)을 받아야 한다.
보건교사는 교육공무원으로 연금을 받을 수 있다. 또한 보건실이라는 독립된 공간에서 건강한 학생들을 대상으로 근무하기 때문에 스트레스가 적어 보건교사에 대한 선호도는 높은 편이다.","조사년도:2023년, 임금 하위(25%) 3750만원, 평균(50%) 4500만원, 상위(25%) 5250만원",76.1,증가(13%) 현상유지(40%) 감소(47%),보건교사,사람 파악(94)/학습전략(92)/가르치기(88)/말하기(87)/서비스 지향(85),의료(97)/상담(82)/교육 및 훈련(75)/심리(73)/생물(61),"질병 혹은 감염 위험 노출(99)/건강 및 안전에 대한 책임(99)/다른 사람과의 접촉(93)/공문, 문서 주고받기(79)/앉아서 근무(68)",리더십(55)/타인에 대한 배려(53)/성취/노력(51)/정직성(49)/사회성(48),사회형(Social)(99)/현실형(Realistic)(49),고용안정(96)/인정(95)/이타(93)/타인에 대한 영향(93)/자율(91),"사람들을 배려, 돌봄(98)/사람들을 훈련, 교육(81)/사람들에게 조언, 상담(81)/사물, 서비스, 사람의 질 판단(76)/행정, 관리 업무(72)","사람들을 배려, 돌봄(98)/사물, 서비스, 사람의 질 판단(83)/행정, 관리 업무(79)/사람들을 훈련, 교육(79)/의사 결정, 문제점 해결(76)"
